dev_id,car_type,obs_days,total_drop_pct,current_retention,avg_payload_stress,daily_slope,data_source,annual_rate,calibrated_retention
V000CB0063,GV70,211,-21.508820302684057,78.49117969731594,1.127830532957119,-0.1576160074520696,BW,-57.529842720005405,77.1577692138179
V000CB0077,EV6_LONGRANGE,216,-7.524238529699488,92.47576147030051,1.1041350268173136,0.0016332874264177307,BW,0.5961499106424717,92.0936934609529
V000CB0085,EV3_LONGRANGE,217,-6.730712097767054,93.26928790223295,0.9722546718176208,-0.01963920276365131,BW,-7.168309008732728,93.36331761949481
V000CB0089,BONGO3,248,-5.3638029772923375,94.63619702270766,1.1467571959863958,0.04892170614247558,BW,17.856422742003588,94.25607773166807
V000CB0094,IONIQ5_N,214,-2.294451524610224,97.70554847538978,1.040334577709852,0.03952496609953112,BW,14.42661262632886,97.65973302854131
V000CC0005,EV6_LONGRANGE,215,-8.412270475271285,91.58772952472872,0.9116246634947219,-0.03723518301083136,BW,-13.590841798953447,91.96804510376765
V000CC0007,PORTER2,216,-5.194673628057885,94.80532637194212,0.9409119401489966,0.012331379395337985,BW,4.5009534792983645,94.96113460914451
V000CC0016,IONIQ5_LONGRANGE,217,-8.86238640104861,91.13761359895139,0.9738787291055485,-0.039394607467316996,BW,-14.379031725570703,91.25412790711239
V000CC0020,NIRO_PLUS,205,-17.346404055673077,82.65359594432692,1.0709988468202518,-0.057666900143296305,BW,-21.04841855230315,82.04836704465167
V000CC0029,CASPER_LONGRANGE,216,-1.6503224460713568,98.34967755392864,1.0108657986615674,0.00676021805267135,BW,2.467479589225043,98.34073574256983
V000CC0050,EV6_LONGRANGE,217,-1.269464805049708,98.73053519495029,1.0538052354960044,0.004463526915541446,BW,1.6291873241726278,98.69683069847945
V000CC0052,EV6_LONGRANGE,216,-9.350485200845043,90.64951479915496,1.000419793532623,-0.0016454343123922727,BW,-0.6005835240231795,90.64755236848018
V001BB0001,IONIQ5,447,4.358382006341685,104.35838200634169,1.0335716365342973,0.04252868085163683,BW,15.522968510847443,104.43093709320412
